"tags","createdAt","nameWithOwner","stargazerCount","description","repositoryTopics_list","primaryLanguage","languages_list","diskUsage","relatedTopics_list"
"[""magicleap"",""opencv"",""unity""]","2019-01-30T14:52:06Z","EnoxSoftware/MagicLeapWithOpenCVForUnityExample",19,"MagicLeap with OpenCVforUnity Example","[""magicleap"",""opencv"",""unity""]","C#","[""C#""]",3202,"[""c"",""cpp"",""java"",""python"",""computer-vision"",""object-detection"",""deep-learning"",""tensorflow"",""game"",""unity3d"",""game-development"",""gamedev""]"
"[""markers"",""model"",""unity"",""opencv"",""assetstore"",""augmented-reality""]","2017-02-13T08:26:36Z","EnoxSoftware/MarkerBasedARExample",10,"This asset is an Augmented Reality Example that detect and recognize markers and display 3D model in WebCamTexture in real-time.","[""unity"",""opencv"",""assetstore"",""augmented-reality""]","C#","[""C#""]",96109,"[""game"",""unity3d"",""game-development"",""gamedev"",""c"",""cpp"",""java"",""python"",""computer-vision"",""object-detection"",""deep-learning"",""tensorflow"",""game"",""unity"",""unity3d"",""game-development"",""gamedev"",""swift"",""ios"",""objective-c"",""cocoapods"",""xcode""]"
"[""markers"",""3d"",""model"",""unity"",""opencv"",""assetstore"",""augmented-reality""]","2017-02-13T05:02:43Z","EnoxSoftware/MarkerLessARExample",18,"This asset is a Marker-Less Augmented Reality Example using the actual environment as input instead of printed square markers and display 3d model in WebCamTexture in real-time.","[""unity"",""opencv"",""assetstore"",""augmented-reality""]","C#","[""C#""]",119671,"[""game"",""unity3d"",""game-development"",""gamedev"",""c"",""cpp"",""java"",""python"",""computer-vision"",""object-detection"",""deep-learning"",""tensorflow"",""game"",""unity"",""unity3d"",""game-development"",""gamedev"",""swift"",""ios"",""objective-c"",""cocoapods"",""xcode""]"
"[""unity"",""oepncv"",""vuforia"",""vuforia-sdk"",""augmented-reality""]","2017-02-15T13:56:57Z","EnoxSoftware/VuforiaWithOpenCVForUnityExample",50,"Vuforia with OpenCV for Unity Example","[""unity"",""oepncv"",""vuforia"",""vuforia-sdk"",""augmented-reality""]","C#","[""C#""]",23412,"[""game"",""unity3d"",""game-development"",""gamedev"",""hacktoberfest"",""hacktoberfest2020"",""gpu"",""cuda"",""ember"",""swift"",""ios"",""objective-c"",""cocoapods"",""xcode""]"
"[""real-time"",""interactive"",""simulation"",""visualization"",""framework"",""systems"",""ros"",""unity"",""augmented-reality"",""interaction"",""robotics""]","2020-03-09T14:04:38Z","EricVoll/ARbotics",8,"soft real-time interactive simulation and visualization framework in AR for robotic systems based on ROS","[""ros"",""unity"",""augmented-reality"",""interaction"",""robotics""]","C#","[""Python"",""Dockerfile"",""Shell"",""CMake"",""C++"",""C#"",""ShaderLab"",""HLSL""]",110172,"[""robotics"",""computer-vision"",""simulation"",""robot"",""game"",""unity3d"",""game-development"",""gamedev"",""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""websocket"",""chat"",""webrtc"",""websockets"",""p2p"",""ros"",""computer-vision"",""simulation"",""robot""]"
"[""arcore"",""unity"",""augmented-reality"",""demo""]","2018-02-28T15:54:20Z","Erkaman/teapot_shooter",30,"Augmented Reality Teapot Shooter made using Unity and ARCore","[""arcore"",""unity"",""augmented-reality"",""demo""]","C#","[""GLSL"",""C#"",""ShaderLab""]",32063,"[""kafka"",""spark"",""java"",""scala"",""big-data"",""game"",""unity3d"",""game-development"",""gamedev"",""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""hacktoberfest"",""clojure"",""cms"",""library"",""api""]"
"[""visualization"",""esri-labs"",""appstudio"",""arcgis"",""augmented-reality"",""qml""]","2017-04-28T02:22:00Z","Esri/AuGeo",32,"AuGeo - Augmented Reality for ArcGIS","[""visualization"",""esri-labs"",""appstudio"",""arcgis"",""augmented-reality"",""qml""]","null","null",21,"[""graph"",""data-visualization"",""chart"",""charts"",""gis"",""map"",""maps"",""geospatial"",""openstreetmap"",""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""cpp"",""c-plus-plus"",""qt"",""c"",""cmake""]"
"[""esri-labs"",""appstudio"",""augmented-reality"",""arcgis"",""qml"",""native-development""]","2016-09-11T21:25:18Z","Esri/Trek2There",9,"Trek2There™","[""esri-labs"",""appstudio"",""augmented-reality"",""arcgis"",""qml"",""native-development""]","QML","[""QML"",""JavaScript""]",1240,"[""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""gis"",""map"",""maps"",""geospatial"",""openstreetmap"",""cpp"",""c-plus-plus"",""qt"",""c"",""cmake"",""opencv"",""computer-vision"",""object-detection"",""deep-learning"",""tensorflow""]"
"[""mapping"",""hololens"",""augmented-reality"",""mixed-reality"",""arcgis-online""]","2016-11-05T01:48:44Z","Esri/hololens-terrain-viewer",35,"Holographic mapping powered by ArcGIS","[""hololens"",""augmented-reality"",""mixed-reality"",""arcgis-online""]","C#","[""C#"",""ShaderLab"",""HLSL""]",81399,"[""javascript"",""typescript"",""emacs"",""nodejs"",""deno"",""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""kafka"",""spark"",""java"",""scala"",""big-data"",""php"",""symfony"",""php7"",""composer"",""symfony-bundle""]"
"[""n"",""u"",""l"",""l""]","2017-05-18T16:46:27Z","FIU-SCIS-Senior-Projects/WEB-VR-Towards-Virtual-and-Augmented-Reality-for-the-WEB-1.0",3,"WEB-VR: Towards Virtual and Augmented Reality for the WEB 1.0","null","HTML","[""Rust"",""JavaScript"",""HTML"",""C#"",""GLSL"",""ShaderLab"",""HLSL"",""CSS""]",685625,"null"
"[""integration"",""application"",""n"",""u"",""l"",""l""]","2017-02-13T09:03:46Z","FazioNico/ionic-ar-placement",11,"Augmented Reality integration in a Ionic 2 application","null","TypeScript","[""TypeScript"",""HTML"",""CSS"",""JavaScript""]",1044,"null"
"[""vr"",""virtual-reality"",""ar"",""augmented-reality"",""unity"",""unity3d""]","2018-11-16T15:37:02Z","FinchTechnologies/FinchUnitySDK",9,"Finch SDK for Unity","[""vr"",""virtual-reality"",""ar"",""augmented-reality"",""unity"",""unity3d""]","C#","[""C#"",""C++""]",27755,"[""vscode"",""vscode-extension"",""javascript"",""typescript"",""hacktoberfest"",""vscode"",""vscode-extension"",""javascript"",""typescript"",""hacktoberfest"",""vscode"",""vscode-extension"",""javascript"",""typescript"",""hacktoberfest"",""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""game"",""unity3d"",""game-development"",""gamedev"",""game"",""unity"",""game-development"",""gamedev""]"
"[""game"",""augmented"",""augmented-reality"",""hololens"",""video-game"",""unity3d""]","2017-07-07T09:38:53Z","FindItAR/FindIt",3,":eyes: Hide and seek (a cube) and quiz game in augmented reality.","[""augmented-reality"",""hololens"",""video-game"",""unity3d""]","C#","[""C#"",""ShaderLab"",""HLSL"",""GLSL"",""FLUX""]",68857,"[""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""javascript"",""typescript"",""emacs"",""nodejs"",""deno"",""php"",""symfony"",""php7"",""composer"",""symfony-bundle"",""game"",""unity"",""game-development"",""gamedev""]"
"[""application"",""java"",""kotlin"",""opencv-android-sdk"",""opengl"",""arcore-android"",""photo-editing"",""augmented-reality"",""android"",""hacktoberfest""]","2020-07-26T08:52:57Z","Fireboltz/Paneeer",5,"An all in one photo editing application with AR Capabilities 📸","[""java"",""kotlin"",""opencv-android-sdk"",""opengl"",""arcore-android"",""photo-editing"",""augmented-reality"",""android"",""hacktoberfest""]","C++","[""Java"",""Kotlin"",""Makefile"",""CMake"",""C++"",""C"",""Objective-C"",""GLSL""]",247191,"[""android"",""gradle"",""kotlin"",""javafx"",""android"",""mvvm"",""rxjava"",""kotlin-android"",""youtube"",""downloader"",""python"",""anime"",""download"",""api"",""c"",""simulation"",""graphics"",""webgl"",""3d"",""vulkan"",""discord"",""bot"",""discord-bot"",""slack"",""chatbot"",""java"",""spring-boot"",""spring"",""springboot"",""redis"",""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""react-native"",""ios"",""react"",""mobile"",""elixir"",""python"",""erlang"",""elm""]"
"[""augmented"",""reality"",""game"",""pokemon"",""harry-potter"",""augmented-reality""]","2016-07-21T17:49:09Z","Flinesoft/Anything-GO",6,"Pokémon Go inspired augmented reality game concepts for any franchise / community.","[""pokemon"",""harry-potter"",""augmented-reality""]","null","null",185,"[""reverse-engineering"",""emulator"",""homebrew"",""malware"",""emulation"",""elixir"",""hacktoberfest"",""python"",""erlang"",""elm"",""swift"",""ios"",""objective-c"",""cocoapods"",""xcode""]"
"[""reality"",""communication"",""vr"",""virtual-reality"",""ar"",""augmented-reality"",""unity"",""hololens"",""vive""]","2018-03-25T15:47:54Z","FlorianJa/BeamLite-Unity",5,"Mixed reality communication system for remote meetings.","[""vr"",""virtual-reality"",""ar"",""augmented-reality"",""unity"",""hololens"",""vive""]","C#","[""C#"",""HLSL"",""ShaderLab"",""Java"",""JavaScript"",""Objective-C++"",""Objective-C"",""C"",""GLSL""]",489397,"[""vscode"",""vscode-extension"",""javascript"",""typescript"",""hacktoberfest"",""vscode"",""vscode-extension"",""javascript"",""typescript"",""hacktoberfest"",""vscode"",""vscode-extension"",""javascript"",""typescript"",""hacktoberfest"",""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""game"",""unity3d"",""game-development"",""gamedev"",""javascript"",""typescript"",""emacs"",""nodejs"",""deno"",""vscode"",""vscode-extension"",""javascript"",""typescript"",""hacktoberfest""]"
"[""n"",""u"",""l"",""l""]","2018-07-31T01:38:17Z","Frost-Lee/A-Live",6,"New way to explore your memory with Augmented Reality.","null","Swift","[""Swift"",""Ruby""]",65116,"null"
"[""n"",""u"",""l"",""l""]","2016-09-27T06:31:42Z","Fsmash/GhostWatch",5,"Augmented Reality Android Application","null","Java","[""Java"",""CSS"",""HTML"",""JavaScript""]",33086,"null"
"[""augmented"",""n"",""u"",""l"",""l""]","2017-07-29T01:20:55Z","FusedVR/PetAR",15,"Make your own pet with augmented reality!","null","C#","[""C#"",""JavaScript"",""Objective-C++"",""ShaderLab""]",257,"null"
"[""libgdx"",""augmented-reality"",""augmented-reality-applications"",""augmentedreality"",""ar"",""artoolkit"",""integration"",""freesoftware"",""opensource"",""software-libre"",""glud""]","2017-03-14T01:27:17Z","GLUD/trascendentAR",7,"Integración de ARToolkit con libGDX para Android. Website: https://glud.github.io/trascendentAR/","[""libgdx"",""augmented-reality"",""augmented-reality-applications"",""augmentedreality"",""ar"",""artoolkit"",""integration"",""freesoftware"",""opensource"",""software-libre"",""glud""]","Java","[""Java""]",65977,"[""game"",""unity"",""unity3d"",""game-development"",""gamedev"",""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""python"",""telegram"",""bot"",""telegram-bot"",""rss"",""api"",""http"",""rest-api"",""rest"",""swagger"",""vscode"",""vscode-extension"",""javascript"",""typescript"",""hacktoberfest"",""azure"",""devops"",""terraform"",""docker"",""cloud"",""calendar"",""library"",""keyboard"",""time"",""javascript"",""hacktoberfest"",""open-source"",""community"",""free""]"
"[""n"",""u"",""l"",""l""]","2019-02-01T22:39:11Z","GTSupplyChainAR/Perspectives-Magic-Leap-Order-Picking",3,"null","null","C#","[""C#"",""ShaderLab"",""HLSL""]",278346,"null"
"[""n"",""u"",""l"",""l""]","2018-10-16T21:05:29Z","GYLee1618/MARTH",3,"Multilingual Augmented Reality Translation Headset","null","Python","[""Python"",""Shell"",""Roff""]",198648,"null"
"[""code"",""augmented"",""reality"",""app"",""n"",""u"",""l"",""l""]","2017-02-02T02:00:39Z","GalacticMuffin/ModelViewerCodeExamples",4,"Incomplete collection of code and assets used in a augmented reality Model Viewer app developed in Unity 4 ","null","C#","[""C#""]",7392,"null"
"[""n"",""u"",""l"",""l""]","2020-12-29T08:49:04Z","Gamient-Society/AR-greeting",3,"Greet others in Augmented Reality through AR Greetings.","null","JavaScript","[""CSS"",""HTML"",""JavaScript""]",14477,"null"
"[""reality"",""development"",""n"",""u"",""l"",""l""]","2016-10-24T13:43:47Z","GeekLiB/AR-BXT-AR4Python",47,"Augmented reality (AR) Python development library.","null","Python","[""Python""]",1395,"null"
"[""reality"",""development"",""n"",""u"",""l"",""l""]","2016-10-13T09:22:44Z","GeekLiB/AR-Source",1495,"Augmented reality (AR) development resources(增强现实开发资源汇总)---AIRX整理","null","null","null",201,"null"
"[""talks"",""webvr"",""slide-link"",""speaker"",""bio"",""vr"",""augmented-reality"",""virtual-reality"",""slide"",""google"",""googlevr"",""blocks"",""gdg-devfest""]","2017-09-17T05:20:59Z","GeekyShiva/Talks-and-Workshops",3,"This is the source repository for all the content delivered in workshops and talks by Shivank Shekhar on various platforms.","[""webvr"",""slide-link"",""speaker"",""bio"",""vr"",""augmented-reality"",""virtual-reality"",""slide"",""google"",""googlevr"",""blocks"",""gdg-devfest""]","null","null",38857,"[""vscode"",""vscode-extension"",""javascript"",""typescript"",""hacktoberfest"",""monitoring"",""prometheus"",""metrics"",""elasticsearch"",""performance"",""markdown"",""electron"",""notes"",""electron-app"",""desktop"",""vscode"",""vscode-extension"",""javascript"",""typescript"",""hacktoberfest"",""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""vscode"",""vscode-extension"",""javascript"",""typescript"",""hacktoberfest"",""chrome-extension"",""chrome"",""firefox"",""extension"",""firefox-addon"",""api"",""sdk"",""facebook"",""wrapper"",""nlp"",""natural-language-processing"",""bert"",""sentiment-analysis"",""pytorch""]"
"[""game"",""real"",""n"",""u"",""l"",""l""]","2016-08-09T14:57:03Z","Generalkidd/Halo-Forge-In-Real-Life",4,"The favorite game mode Forge, first introduced in Halo 3, is now available in real life thanks to the Microsoft HoloLens! ","null","C#","[""C#"",""GLSL""]",444950,"null"
"[""n"",""u"",""l"",""l""]","2017-07-24T11:12:53Z","GetLightBite/StriveSDK_iOS",54,"Augmented Reality Face Filters SDK for iOS","null","Objective-C","[""Objective-C"",""Swift""]",75780,"null"
"[""app"",""swift"",""augmented-reality"",""ios"",""mapkit"",""arkit""]","2017-09-24T15:56:29Z","GlebRadchenko/AR_Navigation",5,"Navigation app using AR","[""swift"",""augmented-reality"",""ios"",""mapkit"",""arkit""]","Swift","[""Swift""]",195,"[""language"",""objective-c"",""ios"",""cocoapods"",""xcode"",""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""swift"",""objective-c"",""cocoapods"",""xcode"",""api"",""sdk"",""facebook"",""wrapper"",""google"",""swift"",""ios"",""objective-c"",""cocoapods"",""xcode""]"
"[""camera"",""n"",""u"",""l"",""l""]","2020-03-22T13:24:19Z","Grandolf49/campus-compass-android",4,"An Augmented Reality based Android Application that shows places of interest as you move the camera around you.","null","Java","[""Java""]",620,"null"
"[""app"",""scene"",""immersive"",""n"",""u"",""l"",""l""]","2019-05-11T21:50:52Z","GreggNicholas/AR-You-Learning",7,"A spelling app that uses Augmented Reality(Sceneform) to make a child's everyday scene into an immersive spelling playground.","null","Java","[""Java""]",436714,"null"
"[""app"",""app"",""help"",""learning"",""app"",""2d"",""app"",""phone"",""app"",""app"",""n"",""u"",""l"",""l""]","2019-06-21T09:44:39Z","Gstar1525/AR-App-for-Education",5,"Our Augmented Reality based app which can be used by students with their traditional textbooks. This app will help students to visualize the three dimensional representation of the entity they are learning about. This app allows to understand the concepts easily and way better than just seeing the 2d pictorial format of the subject. Basic requirement of the app will be a Android phone or tablet on which our app will run and if user wants to enhance the experience then a VR glasses can also be used.  This app can be used from School/High School to Colleges.","null","C#","[""C#"",""ShaderLab"",""HLSL""]",131004,"null"
"[""augmented"",""reality"",""app"",""ios"",""swift"",""arkit""]","2017-09-16T06:52:22Z","HTN-2017/AR-Planes",97,":airplane: An augmented reality app to visualize and discover the planes flying around you. Finalist at Hack the North 2017 in Waterloo, ON, Canada.","[""ios"",""swift"",""arkit""]","Swift","[""Swift"",""Ruby""]",4380,"[""swift"",""objective-c"",""cocoapods"",""xcode"",""language"",""objective-c"",""ios"",""cocoapods"",""xcode"",""swift"",""ios"",""objective-c"",""cocoapods"",""xcode""]"
"[""framework"",""augmented-reality"",""virtual-reality"",""mozilla"",""aframe""]","2018-06-21T07:54:20Z","HackyRoot/A-Frame-Examples",9,"AR/VR projects created using Mozilla's A-Frame framework","[""augmented-reality"",""virtual-reality"",""mozilla"",""aframe""]","HTML","[""HTML""]",1614,"[""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""vscode"",""vscode-extension"",""javascript"",""typescript"",""hacktoberfest"",""chrome-extension"",""chrome"",""firefox"",""extension"",""firefox-addon"",""vscode"",""vscode-extension"",""javascript"",""typescript"",""hacktoberfest""]"
"[""sceneform"",""arcore-android"",""arcore"",""android"",""augmented-reality"",""augmented-images"",""android-development""]","2018-07-12T11:53:47Z","Hariofspades/ARExperiments",51,"My AR experiments collections","[""sceneform"",""arcore-android"",""arcore"",""android"",""augmented-reality"",""augmented-images"",""android-development""]","Kotlin","[""Kotlin"",""Java""]",14080,"[""vscode"",""vscode-extension"",""javascript"",""typescript"",""hacktoberfest"",""discord"",""bot"",""discord-bot"",""slack"",""chatbot"",""kafka"",""spark"",""java"",""scala"",""big-data"",""react-native"",""ios"",""react"",""mobile"",""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""android"",""android-library"",""kotlin"",""android-application"",""material-design""]"
"[""swift"",""3d"",""graphics"",""metal"",""metalkit"",""augmented-reality"",""shaders"",""metalapi"",""gfx"",""satin"",""xcode"",""3d-graphics-framework"",""apple-metal""]","2019-08-04T23:14:53Z","Hi-Rez/Satin",226,"A 3D Graphics Framework built on Apple's Metal","[""swift"",""3d"",""graphics"",""metal"",""metalkit"",""augmented-reality"",""shaders"",""metalapi"",""gfx"",""satin"",""xcode"",""3d-graphics-framework"",""apple-metal""]","Swift","[""Swift"",""Objective-C"",""Metal"",""Ruby"",""C""]",33527,"[""language"",""objective-c"",""ios"",""cocoapods"",""xcode"",""opengl"",""graphics"",""webgl"",""vulkan"",""opengl"",""webgl"",""3d"",""vulkan"",""opengl"",""graphics"",""webgl"",""3d"",""vulkan"",""image"",""svg"",""image-processing"",""icons"",""font"",""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""opengl"",""graphics"",""webgl"",""3d"",""vulkan"",""opengl"",""graphics"",""webgl"",""3d"",""vulkan"",""swift"",""ios"",""macos"",""swiftui"",""objective-c""]"
"[""sample"",""project"",""arkit"",""react"",""react-native"",""augmented-reality"",""objective-c"",""ios""]","2017-09-27T05:07:37Z","HippoAR/ReactNativeARKit",60,"A sample project to demonstrate how to use react-native-arkit","[""arkit"",""react"",""react-native"",""augmented-reality"",""objective-c"",""ios""]","JavaScript","[""JavaScript"",""Objective-C"",""Python"",""Java""]",658,"[""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""angular"",""react-native"",""vue"",""reactjs"",""hooks"",""react-hooks"",""typescript"",""reactjs"",""android"",""ios"",""react"",""mobile"",""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""c"",""clang"",""language"",""swift"",""ios"",""macos"",""swiftui"",""swift"",""objective-c"",""cocoapods"",""xcode""]"
"[""n"",""u"",""l"",""l""]","2018-06-21T13:32:43Z","HiromuKato/WinMRPaint",3,"Windows Mixed Realityのペイントアプリです。","null","C#","[""C#"",""HLSL"",""ShaderLab""]",46150,"null"
"[""mixed-reality"",""augementedreality"",""hololens"",""hololens2""]","2020-08-17T14:39:36Z","Holo-Light-GmbH/StylusToolKit-Unity",3,"Official Stylus ToolKit for Unity by Holo-Light. Makers of the Stylus XR.","[""mixed-reality"",""augementedreality"",""hololens"",""hololens2""]","C#","[""C#"",""Smalltalk""]",12036,"[""kafka"",""spark"",""java"",""scala"",""big-data"",""javascript"",""typescript"",""emacs"",""nodejs"",""deno""]"
"[""code"",""holo-light"",""unity"",""toolkit-unity"",""toolkit"",""unity-asset"",""unity3d"",""holo-stylus"",""mixed-reality""]","2018-11-21T15:14:24Z","Holo-Light/HoloStylusToolkit-Unity",8,"HoloStylusToolkit-Unity uses code from the HoloStylusToolkit-SDK and makes it easier to use it in Unity.","[""holo-light"",""unity"",""toolkit-unity"",""toolkit"",""unity-asset"",""unity3d"",""holo-stylus"",""mixed-reality""]","C#","[""C#"",""ShaderLab""]",290,"[""game"",""unity3d"",""game-development"",""gamedev"",""cli"",""developer-tools"",""tool"",""tools"",""notifications"",""react"",""typescript"",""nextjs"",""reactjs"",""tailwindcss"",""game"",""unity"",""game-development"",""gamedev"",""kafka"",""spark"",""java"",""scala"",""big-data""]"
"[""components"",""n"",""u"",""l"",""l""]","2020-01-04T18:09:55Z","HoloFab/HoloFab-Grasshopper",4,"Grasshopper components to interact with Mixed Reality Devices to assist in digital fabrication workflows.","null","C#","[""C#""]",25391,"null"
"[""n"",""u"",""l"",""l""]","2019-11-17T06:56:05Z","HoloLabInc/MRTKExtensionForMagicLeap",23,"Mixed Reality Toolkit (MRTK) extension for Magic Leap","null","Batchfile","[""Batchfile""]",141,"null"
"[""n"",""u"",""l"",""l""]","2020-01-06T16:44:18Z","HoloLabInc/MRTKExtensionForNrealLight",30,"Mixed Reality Toolkit (MRTK) extension for Nreal Light","null","Batchfile","[""Batchfile""]",119,"null"
"[""n"",""u"",""l"",""l""]","2019-12-12T10:08:15Z","HoloLabInc/MRTKExtensionForOculusQuest",118,"Mixed Reality Toolkit (MRTK) extension for Oculus Quest","null","Batchfile","[""Batchfile""]",113,"null"
"[""mixed"",""n"",""u"",""l"",""l""]","2017-03-08T13:05:08Z","Holocracy/Mixed-Reality-Hangout",9,"Chat with new friends over mixed reality.","null","C#","[""C#"",""GLSL"",""ShaderLab"",""HLSL""]",115413,"null"
"[""tutorial"",""n"",""u"",""l"",""l""]","2016-12-28T10:17:39Z","Hrily/ARTutorial",5,"Augmented Reality Android example tutorial","null","Java","[""Java""]",118,"null"
"[""augmented"",""reality"",""app"",""face"",""face"",""augmented-reality"",""swift"",""face-recognition"",""ibm-watson"",""ibm-visual-recognition"",""cloudant-nosql-database"",""ios11"",""arkit"",""ibmcode""]","2018-01-15T22:56:56Z","IBM/ar-resume-with-visual-recognition",70,"An augmented reality based résumé with Face recognition. The iOS app recognizes the face and presents you with the AR view that contains 3D mock face and details of your resume.","[""augmented-reality"",""swift"",""face-recognition"",""ibm-watson"",""ibm-visual-recognition"",""cloudant-nosql-database"",""ios11"",""arkit"",""ibmcode""]","Swift","[""Ruby"",""Swift""]",147982,"[""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""language"",""objective-c"",""ios"",""cocoapods"",""xcode"",""opencv"",""computer-vision"",""object-detection"",""deep-learning"",""tensorflow"",""python"",""python3"",""flask"",""asyncio"",""python-3"",""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""aws"",""serverless"",""aws-lambda"",""lambda"",""terraform""]"
"[""n"",""u"",""l"",""l""]","2019-08-08T14:15:42Z","IBM/augmented-reality-powered-interior-decorator",20,"Use IBM Cloud services to create an AR powered interior decorator","null","Java","[""Java"",""Shell""]",33615,"null"
"[""augmented-reality"",""vuforia"",""unity"",""unb"",""app"",""mobile""]","2017-03-22T19:43:28Z","IEEEComputerSocietyUNB/UNBQuest",4,"A treasure hunt using AR to welcome Computer Science freshman at University of Brasilia","[""augmented-reality"",""vuforia"",""unity"",""unb"",""app"",""mobile""]","C#","[""C#"",""Java"",""JavaScript"",""Objective-C++"",""Objective-C"",""C"",""ShaderLab""]",160250,"[""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""hacktoberfest"",""hacktoberfest2020"",""gpu"",""cuda"",""ember"",""game"",""unity3d"",""game-development"",""gamedev"",""flutter"",""dart"",""android"",""ios"",""flutter-apps"",""flutter"",""dart"",""android"",""ios"",""flutter-apps""]"
"[""vr"",""ar"",""augmented-reality"",""systems"",""computer-architecture"",""extended-reality"",""mixed-reality"",""xr"",""mr"",""openxr""]","2019-12-18T22:48:25Z","ILLIXR/ILLIXR",41,"ILLIXR: Illinois Extended Reality Testbed","[""vr"",""ar"",""augmented-reality"",""systems"",""computer-architecture"",""extended-reality"",""mixed-reality"",""xr"",""mr"",""openxr""]","C++","[""Makefile"",""Shell"",""C++"",""C"",""Python"",""CMake"",""Dockerfile""]",621705,"[""vscode"",""vscode-extension"",""javascript"",""typescript"",""hacktoberfest"",""vscode"",""vscode-extension"",""javascript"",""typescript"",""hacktoberfest"",""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""web"",""javascript"",""framework"",""frontend"",""webapp"",""haskell"",""excel"",""fpga"",""verilog"",""cpu"",""kafka"",""spark"",""java"",""scala"",""big-data"",""vscode"",""vscode-extension"",""javascript"",""typescript"",""hacktoberfest"",""vscode"",""vscode-extension"",""javascript"",""typescript"",""hacktoberfest"",""video"",""ffmpeg"",""audio"",""streaming"",""camera""]"
"[""augmented"",""reality"",""machine"",""learning"",""n"",""u"",""l"",""l""]","2019-10-17T06:50:38Z","Igloo302/iVision",8,"An assistive system for the blind based on augmented reality and machine learning","null","Swift","[""Swift""]",2605,"null"
"[""reality"",""n"",""u"",""l"",""l""]","2019-03-07T02:10:16Z","Imagination-Media/augmented-reality-magento2",3,"Augmented reality for Magento using Apple Arkit and Adobe Aero files","null","PHP","[""PHP"",""HTML"",""CSS""]",27,"null"
"[""medical"",""information"",""n"",""u"",""l"",""l""]","2016-10-19T21:26:03Z","ImmersiveAnalytics/QlikHealthcareAnalytics",3,"Provides medical personnel access to analytical information in the field through Augmented Reality","null","C#","[""C#"",""Java"",""JavaScript"",""Objective-C++"",""Objective-C"",""C"",""ShaderLab"",""HLSL""]",248207,"null"
"[""visualization"",""n"",""u"",""l"",""l""]","2018-01-08T15:56:44Z","Innoactive/VRTK-Windows-MR-Extension",18,"Extension for VRTK to include Windows Mixed Reality controller visualization with GLTF","null","C#","[""C#"",""HLSL"",""ShaderLab""]",526063,"null"
"[""csharp"",""augmented-reality"",""hololens"",""ros2""]","2019-01-03T17:22:43Z","IntelligentRoboticsLabs/ARViz",42,"ARViz Project","[""csharp"",""augmented-reality"",""hololens"",""ros2""]","C#","[""C#"",""HLSL"",""ShaderLab""]",90786,"[""dotnet"",""language"",""dotnet-core"",""c-sharp"",""asp-net-core"",""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""javascript"",""typescript"",""emacs"",""nodejs"",""deno"",""robotics"",""ros"",""computer-vision"",""simulation"",""robot""]"
"[""augmented"",""reality"",""application"",""n"",""u"",""l"",""l""]","2016-03-10T00:33:59Z","InterruptedLobster/ARO",11,"An augmented reality application to find points in space.","null","JavaScript","[""JavaScript"",""Objective-C""]",504,"null"
"[""augmented"",""reality"",""game"",""n"",""u"",""l"",""l""]","2017-04-02T10:35:31Z","IsaacGuan/AR-Jinkela",3,"An augmented reality game in which you could blast the cubes on your table","null","C#","[""C#"",""Objective-C++"",""ShaderLab""]",103322,"null"
"[""school"",""microsoft"",""hololens"",""website"",""html"",""html5"",""css"",""html-css"",""webdevelopment""]","2019-02-04T08:49:55Z","IshanManchanda/Hololens",8,"Website made for Microsoft Hololens as a school project.","[""microsoft"",""hololens"",""website"",""html"",""html5"",""css"",""html-css"",""webdevelopment""]","HTML","[""HTML"",""CSS""]",22147,"[""windows"",""powershell"",""xamarin"",""csharp"",""c-sharp"",""javascript"",""typescript"",""emacs"",""nodejs"",""deno"",""hacktoberfest"",""clojure"",""cms"",""library"",""api"",""css"",""javascript"",""html5"",""sass"",""python"",""telegram"",""bot"",""telegram-bot"",""rss"",""html"",""javascript"",""html5"",""sass"",""css"",""html"",""javascript"",""html5"",""sass"",""web"",""javascript"",""framework"",""frontend"",""webapp""]"
"[""n"",""u"",""l"",""l""]","2019-02-05T02:14:41Z","JC3/MLExamples",3,"Magic Leap API Examples","null","C","[""C"",""C++""]",710,"null"
